2017-04-04 17:10:02,358 - INFO - Reading from log file /etc/osg_display/osg_display.conf.
2017-04-04 17:10:02,359 - DEBUG - Setting script timeout to 3600.
2017-04-04 17:10:02,374 - INFO - Successfully connected to Gratia database
2017-04-04 17:10:16,187 - INFO - Gratia returned 199 results for jobs
2017-04-04 17:10:16,187 - DEBUG - Job result dump:
2017-04-04 17:10:16,187 - DEBUG - Time 2017-03-08 11:00: Count 1, Hours 42.21
2017-04-04 17:10:16,187 - DEBUG - Time 2017-03-08 17:00: Count 1, Hours 48.81
2017-04-04 17:10:16,187 - DEBUG - Time 2017-03-10 01:00: Count 1, Hours 88.69
2017-04-04 17:10:16,187 - DEBUG - Time 2017-03-10 16:00: Count 1, Hours 49.00
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-13 03:00: Count 1, Hours 85.27
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-14 15:00: Count 1, Hours 76.56
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-14 21:00: Count 2, Hours 103.12
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-14 22:00: Count 1, Hours 50.52
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-14 23:00: Count 2, Hours 101.11
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-15 01:00: Count 1, Hours 85.37
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-15 02:00: Count 2, Hours 112.35
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-15 05:00: Count 2, Hours 146.86
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-15 07:00: Count 3, Hours 172.74
2017-04-04 17:10:16,188 - DEBUG - Time 2017-03-15 08:00: Count 2, Hours 121.59
2017-04-04 17:10:16,189 - DEBUG - Time 2017-03-15 09:00: Count 2, Hours 134.33
2017-04-04 17:10:16,189 - DEBUG - Time 2017-03-15 10:00: Count 1, Hours 52.45
2017-04-04 17:10:16,189 - DEBUG - Time 2017-03-15 12:00: Count 2, Hours 138.87
